date,close,volume,open,high,low
,,,,,
16/02/2018,1095.5,1993147,1093.38,1108.31,1091.55
15/02/2018,1091.36,1858866,1083.45,1094.1,1067.23
14/02/2018,1072.7,2057532,1054.32,1075.47,1049.8
13/02/2018,1054.14,1575967,1050,1061.22,1046.92
12/02/2018,1054.56,2804888,1056.67,1065.57,1045.49
09/02/2018,1046.27,4912365,1025.88,1051.72,997
08/02/2018,1007.71,3330234,1059.87,1063.93,1004.7
07/02/2018,1055.41,2584451,1084.97,1086.53,1054.62
06/02/2018,1084.43,3805467,1033.98,1087.375,1030.01
05/02/2018,1062.39,4151504,1100.61,1114.99,1056.74
02/02/2018,1119.2,5831818,1127.42,1131.3,1111.17
01/02/2018,1181.59,3617850,1175.99,1187.45,1169.36
31/01/2018,1182.22,1788813,1183.81,1186.32,1172.1
30/01/2018,1177.37,1813553,1177.72,1187.93,1174.51
29/01/2018,1186.48,1570320,1188,1198,1184.06
26/01/2018,1187.56,2097874,1187.53,1187.56,1168.03
25/01/2018,1182.14,1486658,1180.71,1185,1171.84
24/01/2018,1171.29,1845809,1184.98,1187.05,1167.401
23/01/2018,1176.17,1940085,1170.62,1178.51,1167.25
22/01/2018,1164.16,1475670,1143.82,1166.88,1141.82
19/01/2018,1143.5,1449097,1138.03,1143.7797,1132.5
18/01/2018,1135.97,1372015,1139.35,1140.585,1124.465
17/01/2018,1139.1,1389212,1136.36,1139.32,1123.49
16/01/2018,1130.7,1803008,1140.31,1148.88,1126.66
12/01/2018,1130.65,1926815,1110.1,1131.3025,1108.0101
11/01/2018,1112.05,1109701,1112.31,1114.85,1106.48
10/01/2018,1110.14,1036362,1107,1112.78,1103.9842
09/01/2018,1112.79,1338828,1118.44,1118.44,1108.201
08/01/2018,1114.21,1231344,1111,1119.16,1110
05/01/2018,1110.29,1512493,1103.45,1113.5799,1101.795
04/01/2018,1095.76,1302470,1097.09,1104.0765,1094.26
03/01/2018,1091.52,1564410,1073.93,1096.1,1073.43
02/01/2018,1073.21,1587358,1053.02,1075.98,1053.02
29/12/2017,1053.4,1178433,1055.49,1058.05,1052.7
28/12/2017,1055.95,993945,1062.25,1064.84,1053.38
27/12/2017,1060.2,1115893,1066.6,1068.27,1058.38
26/12/2017,1065.85,918251,1068.64,1068.86,1058.6401
22/12/2017,1068.86,885293,1070,1071.72,1067.64
21/12/2017,1070.85,1247608,1075.39,1077.52,1069
20/12/2017,1073.56,1435721,1080.92,1081.235,1068.6
19/12/2017,1079.78,1291608,1083.02,1084.975,1072.2704
18/12/2017,1085.09,1512241,1076.45,1086.49,1070.37
15/12/2017,1072,3184555,1063.78,1075.25,1060.0901
14/12/2017,1057.47,1545568,1055.49,1067.08,1053.595
13/12/2017,1051.39,1383935,1052.08,1055.48,1046.58
12/12/2017,1048.77,1692799,1050,1062.5,1044.87
11/12/2017,1051.97,1161981,1051.11,1056,1044.12
08/12/2017,1049.38,1491994,1051.81,1056.42,1045.86
07/12/2017,1044.57,1542074,1036.07,1048.92,1035.36
06/12/2017,1032.72,1380665,1016.52,1039.58,1015.31
05/12/2017,1019.6,1948970,1010.99,1036.68,1002.315
04/12/2017,1011.87,1938233,1027.8,1031.34,1009.22
01/12/2017,1025.07,1867088,1030.41,1037.245,1016.9
30/11/2017,1036.17,2232482,1039.94,1044.1399,1030.07
29/11/2017,1037.38,2789533,1056.18,1058.77,1029.6533
28/11/2017,1063.29,1819336,1073.99,1080,1054.54
27/11/2017,1072.01,1771183,1058.57,1073.035,1054.7713
24/11/2017,1056.52,825369,1054.39,1060.07,1051.92
22/11/2017,1051.92,726428,1051.16,1055.43,1047.25
21/11/2017,1050.3,1080867,1040.04,1050.39,1039.14
20/11/2017,1034.66,857692,1036,1038.695,1032.675
17/11/2017,1035.89,1334171,1049.8,1051,1033.73
16/11/2017,1048.47,1137569,1038.75,1051.76,1038
15/11/2017,1036.41,903823,1035,1039.63,1030.76
14/11/2017,1041.64,1049579,1037.72,1042.3,1029.33
13/11/2017,1041.2,940083,1040.8,1048.74,1039.26
10/11/2017,1044.15,970438,1043.87,1046.63,1041.22
09/11/2017,1047.72,1793882,1048,1050.88,1035.85
08/11/2017,1058.29,1214458,1050.05,1062.691,1047.05
07/11/2017,1052.39,1303523,1049.65,1053.41,1043
06/11/2017,1042.68,913890,1049.1,1052.59,1042
03/11/2017,1049.99,1385129,1042.75,1050.66,1037.65
02/11/2017,1042.97,1334054,1039.99,1045.52,1028.66
01/11/2017,1042.595,2132655,1036.315,1047.86,1034
31/10/2017,1033.04,1502091,1033,1041,1026.295
30/10/2017,1033.13,2339218,1029.16,1039.83,1022.33
27/10/2017,1033.67,5182669,1030.99,1063.62,1026.85
26/10/2017,991.42,2341752,998.47,1006.51,990.47
25/10/2017,991.46,1398153,986.27,994.43,977.722
24/10/2017,988.49,1437362,986.5,989.26,977.08
23/10/2017,985.54,1637624,1005.18,1005.7938,983.1
20/10/2017,1005.07,1605177,1007.05,1008.65,1002.27
19/10/2017,1001.84,1681370,1004.75,1007.322,997.3
18/10/2017,1012.74,1278729,1011.05,1016.3091,1005.32
17/10/2017,1011,1006931,1007.44,1014.56,1006.05
16/10/2017,1009.35,1069349,1009.63,1012,1001.52
13/10/2017,1007.87,1327076,1009.11,1014.76,1007.06
12/10/2017,1005.65,1540348,1003.84,1011.5388,1001.1
11/10/2017,1005.65,1813182,989.04,1007.565,987.94
10/10/2017,987.8,1163319,995.3,997.47,981.11
09/10/2017,992.31,1294495,995,1000.46,991.5
06/10/2017,993.64,1551905,980,994.26,978.51
05/10/2017,985.19,1778767,972.79,986.5085,970.27
04/10/2017,966.78,1056204,971.76,974.4,965.61
03/10/2017,972.08,1083811,967.56,972.44,962.705
02/10/2017,967.47,1536652,975.65,977.74,961.95
29/09/2017,973.72,2026337,966,975.81,966
28/09/2017,964.81,1400397,956.25,966.18,955.55
27/09/2017,959.9,2332282,942.74,965.43,941.95
26/09/2017,937.43,1628565,936.69,944.08,935.12
25/09/2017,934.28,1869992,939.45,939.75,924.5101
22/09/2017,943.26,1074266,942.77,950,940.835
21/09/2017,947.55,1307418,948.13,952.8,939.38
20/09/2017,947.54,1922862,937.73,950,937.5
19/09/2017,936.86,1232224,933.41,937.94,926.66
18/09/2017,929.75,1456206,935.01,936.86,925.4
15/09/2017,935.29,1956538,940.09,941.75,931.25
